,Car_name,mileage,dealer_name,Service_ratings,Service_reviews,consumer_ratings,consumer_reviews,price,Ext_color,Int_color,drive_train,fuel_type,transmission,engine
116,2020 Mercedes-Benz E-Class E 350,"36,158 mi.",Mercedes-Benz of Anaheim,4.9,"(1,688 reviews)",5.0,(10 reviews),"$42,998", Black , Black , Rear-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
117,2020 Mercedes-Benz GLE 350 Base 4MATIC,"52,283 mi.",Mercedes-Benz of South Charlotte,4.8,"(1,218 reviews)",4.3,(75 reviews),"$54,924", Black , Black , All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
118,2020 Mercedes-Benz GLE 350 Base 4MATIC,"21,179 mi.","Mercedes-Benz Manhattan, Inc.",4.5,(454 reviews),4.3,(75 reviews),"$54,417", Black , Black , All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
119,2017 Mercedes-Benz E-Class E 300 Luxury,"45,062 mi.",Mercedes-Benz of West Houston,3.7,(31 reviews),4.8,(79 reviews),"$38,391", Black , Black , All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
120,2019 Mercedes-Benz GLA 250 Base 4MATIC,"17,367 mi.",W.I. Simonson Inc.,4.5,(790 reviews),4.6,(33 reviews),"$31,998", White , Beige , All-wheel Drive ,E85 Flex Fuel ,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo Flexible Fuel
121,2020 Mercedes-Benz GLA 250 Base,"12,881 mi.",Fletcher Jones Motorcars,4.8,"(5,262 reviews)",4.9,(13 reviews),"$35,894", Midnight Black , Black , Front-wheel Drive ,Gasoline ,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo
122,2021 Mercedes-Benz GLC 300 Base,"10,808 mi.",Mercedes-Benz of Tuscaloosa,4.5,(14 reviews),4.7,(16 reviews),"$46,650", White , Silk Beige / Black , Rear-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
123,2020 Mercedes-Benz GLC 300 Base 4MATIC,"18,963 mi.",Mercedes-Benz of Westmont,4.6,(809 reviews),4.8,(35 reviews),"$44,977", Polar White , – , All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
124,2021 Mercedes-Benz CLA 250 Base,"11,120 mi.",Mercedes-Benz Of Athens,4.7,(261 reviews),4.2,(2 reviews),"$49,930", Midnight Black , Black , Front-wheel Drive ,Gasoline ,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo
125,2017 Mercedes-Benz AMG G 63 Base,"51,015 mi.",Mercedes-Benz of Nanuet,4.9,(242 reviews),4.8,(3 reviews),"$115,998", designo Magno Night Black , Black , All-wheel Drive ,Gasoline ,7-Speed Automatic,5.5L V8 32V GDI DOHC Twin Turbo
